TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
164711|Gadus macrocephalus|Tilesius, 1810|Species        |Reviewed|valid||
164712|Gadus morhua|Linnaeus, 1758|Species        |Reviewed|valid||
160189|Galeocerdo cuvier|(Péron and Lesueur in Lesueur, 1822)|Species        |Reviewed|valid||
160181|Galeorhinus galeus|(Linnaeus, 1758)|Species        |Reviewed|valid||
174474|Gavia stellata|(Pontoppidan, 1763)|Species        |Reviewed|valid||
625101|Gazella subgutturosa|(Güldenstaedt, 1780)|Species        |Reviewed|valid||
174953|Geronticus eremita|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Giraffa angolensis|||||
625036|Giraffa camelopardalis|(Linnaeus, 1758)|Species        |Reviewed|valid||
169518|Girella tricuspidata|(Quoy and Gaimard, 1824)|Species        |Reviewed|valid||
180466|Globicephala macrorhynchus|Gray, 1846|Species        |Reviewed|valid||
552461|Globicephala melas|(Traill, 1809)|Species        |Reviewed|valid||
173856|Gopherus agassizii|(Cooper, 1861)|Species        |Reviewed|valid||
180457|Grampus griseus|(G. Cuvier, 1812)|Species        |Reviewed|valid||
176177|Grus canadensis|(Linnaeus, 1758)|Species        |Reviewed|valid||
176183|Grus grus|(Linnaeus, 1758)|Species        |Reviewed|valid||
180551|Gulo gulo|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Gulosus aristotelis|||||
175274|Gymnogyps californianus|(Shaw, 1797)|Species        |Reviewed|valid||
175483|Gypaetus barbatus|(Linnaeus, 1758)|Species        |Reviewed|valid||
560343|Gyps africanus|Salvadori, 1865|Species        |Reviewed|valid||
175486|Gyps coprotheres|(J. R. Forster, 1798)|Species        |Reviewed|valid||
175487|Gyps fulvus|(Hablizl, 1783)|Species        |Reviewed|valid||
175488|Gyps himalayensis|Hume, 1869|Species        |Reviewed|valid||
175490|Gyps rueppellii|(A. E. Brehm, 1852)|Species        |Reviewed|valid||
